Review,Rating
"took some time to adapt the new interface from android but its all worth it in the end.

What's Great?
1. Display
2. Camera
3. Stereo Sound
4. Battery
5. User Interface

What you will miss?
1. Fingerprint scanner
2. Jio switch to video call directly from voice call (Facetime !)",5
"Phone is excellent. IOS is very smooth. Battery backup excellent. The problem lies with the accessories that you will be forced to purchase. There is no charger. (Additional Rs. 1900 for apple charger). The cable is type c to lightning. (Additional Rs. 1000 for certified belkin usb to lightning cable; apple cable >2000). No headphones. (additional Rs. 2000 for other brand earbuds). No cover and screen guard. So for this price you will get phone, cable, sim ejector pin. Im not satisfied with this cable, they should have provided usb to lightning cable.",5
"Play Video
 Best mobile. Best thing is cinematic video recording and as well as nice picture quality. Update from iphone 11 to 13 and liked it.",5
"Actually I am Android user since 10 Years & Now I Switched to Iphone Yes its little difficult to adjust and comfortable with iphone it's take almost 1 week to friendly with them
Otherwise I am Student so as a student usage The Battery gives me almost 1.5 Days with once full charge & No Doubt Performance is Next Level
Camera is Good Both Rear & Front But you will miss Telephoto Lense but overall is good
I got Huge Discount it's almost I spend 63,000/- INR for 128 GB

Trust me If you have sufficient Fund Go for it
Otherwise Next Option is Iphone 12 for 50,000/- I think in this price is Good

Thanks",5
"Apple iphone quality is good. Battery life is good initially, hope it remains same for some time. Money wise all apple products are costly.",5
"I saw in nearby stores
It looks almost like iphone 12 except camera position
Both the phones are awesome
Whoever is having money can go for it
But people like me can see in stores",5
this thing is absolute beast in battery when compared to other iPhone's. I used note 20 ultra before and i am getting nearly the same battery life with this phone in this perfect shape. I am super happy about my purchase. The camera is really great with some new features. if u are looking for a new apple device and your budget is 80k+ u can definitely buy this and not regret.💯,5
"Before this i have samsung and i never click self image standing in front of the mirror tab ""Mausi"" ne kaha Apple lelo aur ab shakal kesi bhi aaye selfie mirror k aage.
Note: 1 saal ruppee showoff k liye hi dete h mostly Apple lene wale log",5
"Buy from Dubai not worth 90,000 phone is good ; battery life is amazing and nice true good and nice",5
"Just received this in the morning. My mother loves the red colour. Also, the camera’s pretty impressive. Haven’t tested the battery yet. But, I’m sure it’s much better than the previous versions.
The best part is that Red colour’s not flashy.",5
"In 2022 atlas switched to iPhone, switched to IOS from Android. Awesome lightning fast IOS, Display, camera, battery life. Overall good experience",5
"This is my first i phone , camera is amazing ,battery is good overall feel is mind blowing , go for it if its your 1st iPhone",5
"The price is directly proportional to the features. Everything is perfect no issues. If you want to switch to an iPhone, this is the perfect phone.",5
Brand wise good phone. Though expensive but better for those who don't have much use and they are looking for safety quality and brand,5
